,
Newfoundland and Labrador,"520,553"
Prince Edward Island,"164,318"
Nova Scotia,"992,055"
New Brunswick,"789,225"
Quebec,"8,604,495"
Ontario,"14,826,276"
Manitoba,"1,383,765"
Saskatchewan,"1,179,844"
Alberta,"4,442,879"
British Columbia,"5,214,805"
Yukon,"42,986"
Northwest Territories ,"45,504"
Nunavut ,"39,403"
